Student_Name,Gender,Date_of_birth,Age,Father's_name,Mother's_name,Guardian's_name,Orphan,no_of_siblings,Adhaar_No,Address,state,PinCode,Mobile_Number,Contact_email_id,mother_tongue,social_category,minority_group,bpl_beneficiary,ews_group,cwsn,pwd,indian_nationality,out_of_school_child,dropped_continued,contact_no,aadhar_no,mother's_qualification,father's_qualification,mother's_occupation,father's_occupation,debt,family_annual_income,no_of_children,academic_stream,status_in_previous_year,appreared_previous_exam,results_in_previous_year_type,mental_issues,drug_addiction ,label
Aaron Curtis,0,02-05-2001,19,Mr.Curtis,Mrs.Curtis,-,0,2,1.84E+11,,30,134754,9389187815,Aaron.Curtis@79.com,0,1,3,0,1,0,1,1,1,0,8346680401,3.42E+11,1,0,1,1,0,1,3,1,3,0,4,0,0,5
Abbie Payne,0,09-11-2005,21,Mr.Payne,Mrs.Payne,-,0,1,5.07E+11,,2,999478,9834951052,Abbie.Payne@19.com,0,4,2,0,0,0,1,1,0,0,8043127564,5.21E+11,4,4,1,1,1,2,2,4,4,1,3,1,0,6
Abbie Schwartz,1,15-10-2004,16,Mr.Schwartz,Mrs.Schwartz,-,0,2,2.40E+11,,33,600506,8930188559,Abbie.Schwartz@21.com,1,4,4,0,0,1,1,1,0,0,9993789479,1.97E+11,0,1,1,1,0,2,3,1,5,0,2,0,1,5
Ada Henry,0,04-12-2004,14,Mr.Henry,Mrs.Henry,-,0,2,3.15E+11,,31,827605,8884504757,Ada.Henry@98.com,1,2,1,0,0,1,0,1,0,1,9520477858,4.44E+11,5,5,0,1,0,0,3,5,4,0,3,1,0,8
Ada McDaniel,0,26-03-2005,21,Mr.McDaniel,Mrs.McDaniel,-,1,1,8.64E+11,,32,318130,8071483506,Ada.McDaniel@95.com,1,4,7,0,0,0,1,1,1,0,9452901528,6.54E+11,1,4,1,0,0,1,2,1,5,1,2,1,1,3
Adam George,1,01-09-2006,15,Mr.George,Mrs.George,-,0,1,5.55E+11,,23,781663,7922405709,Adam.George@98.com,1,4,5,1,0,1,0,1,0,0,9160515347,1.82E+11,2,1,0,0,1,0,2,1,2,0,4,1,1,6
Adam Maldonado,0,09-01-2007,17,Mr.Maldonado,Mrs.Maldonado,-,0,2,9.22E+11,,15,286074,9862660649,Adam.Maldonado@9.com,0,3,1,1,0,1,1,1,0,1,7938910227,4.96E+11,3,3,1,1,0,2,3,5,5,0,2,0,1,7
Adam Mendez,0,15-08-2004,14,Mr.Mendez,Mrs.Mendez,-,0,2,5.26E+11,,13,359245,8845046071,Adam.Mendez@91.com,1,1,1,0,1,0,0,1,1,1,8945634729,6.23E+11,4,0,0,1,1,0,3,4,4,0,3,0,0,9
Adam Poole,0,04-10-2007,16,Mr.Poole,Mrs.Poole,-,0,2,9.10E+11,,1,282044,9354714740,Adam.Poole@33.com,1,4,2,1,1,1,1,1,1,1,9519060338,4.94E+11,1,1,1,1,1,2,3,4,2,1,2,0,1,7
Addie McLaughlin,0,19-05-2008,17,Mr.McLaughlin,Mrs.McLaughlin,-,0,1,6.54E+11,,13,950116,9831813141,Addie.McLaughlin@55.com,1,1,1,1,0,1,0,1,1,1,9446810513,1.41E+11,2,4,0,1,0,0,2,2,4,0,1,1,0,8
Adelaide Drake,0,05-11-2008,20,Mr.Drake,Mrs.Drake,-,0,2,8.66E+11,,18,359732,8311803227,Adelaide.Drake@12.com,0,2,7,0,1,1,1,1,0,1,8271702568,7.39E+11,4,0,1,0,1,0,3,4,1,0,1,0,0,7
Adelaide Little,1,27-04-2006,20,Mr.Little,Mrs.Little,-,1,2,6.08E+11,,30,133074,8610127707,Adelaide.Little@46.com,1,3,5,0,1,1,0,1,0,1,8092612292,6.99E+11,3,2,0,1,1,0,3,4,1,0,1,0,0,7
Adeline Brooks,0,09-12-2003,16,Mr.Brooks,Mrs.Brooks,-,0,1,6.16E+11,,15,159101,9051954859,Adeline.Brooks@57.com,1,3,5,1,1,0,1,1,0,1,8142076216,3.20E+11,3,1,1,1,1,2,2,3,1,1,3,0,1,8
